case,date,year,type,country,area,activity,sex,age,injury,dead,especie,resolucion,genre
1994.10.05,05-Oct-1994,1994.0,Unprovoked,USA,Florida,Surfing,M,16,Foot bitten,N,,bite,m
1994.09.26,26-Sep-1994,1994.0,Unprovoked,USA,South Carolina,Swimming,F,30,Right side of abdomen & left hand bitten,N,,bite,f
1994.09.21,21-Sep-1994,1994.0,Unprovoked,USA,Oregon,Surfing,M,43,"No injury, surfboard bitten",N,5 m [16.5'] white shark,no injury,m
1994.09.11.R,Reported 11-Sep-1994,1994.0,Sea Disaster,USA,Florida,Adrift on refugee raft,M,7      &    31,FATAL,Y,,death,m
1994.09.05,05-Sep-1994,1994.0,Unprovoked,USA,Hawaii,Jumped off rocks into white water,F,12,Left calf bitten,N,Small shark,bite,f
1994.08.22,22-Aug-1994,1994.0,Unprovoked,JAPAN,Kagoshima Prefecture,,,,Survived,N,,bite,
1994.07.24,24-Jul-1994,1994.0,Unprovoked,BRAZIL,Pernambuco,Surfing,M,15,Left foot severed,N,,bite,m
1994.07.09.d,09-Jul-1994,1994.0,Unprovoked,BRAZIL,Pernambuco,Swimming,M,,FATAL,Y,,death,m
1994.07.09.c,09-Jul-1994,1994.0,Unprovoked,REUNION,Saint-Denis,Windsurfing,M,24,FATAL,Y,3 to 3.5 m [10' to 11.5'] bull shark,death,m
1994.07.09.b,09-Jul-1994,1994.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,22,"FATAL, leg severed ",Y,4 m [13'] white shark,death,m
1994.07.09.a,09-Jul-1994,1994.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,31,Buttock & leg bitten,N,4 m [13'] white shark,bite,m
1994.07.08.b,08-Jul-1994,1994.0,Unprovoked,BRAZIL,Pernambuco,Surfing,M,,Survived,N,,bite,m
1994.07.08.a,08-Jul-1994,1994.0,Unprovoked,USA,Florida,Surfing,M,15,Right calf lacerated,N,"""small shark""",bite,m
1994.06.24,24-Jun-1994,1994.0,Unprovoked,BAHAMAS,Grand Bahama Island,Spearfishing,M,30,Forearm severely bitten,N,1.8 m [6'] shark,bite,m
1994.05.31.b,31-May-1994,1994.0,Unprovoked,USA,Florida,Surfing,M,24,Foot lacerated,N,,bite,m
1994.05.31.a,31-May-1994,1994.0,Unprovoked,USA,Florida,Surfing,M, 28,Right foot lacerated,N,1.2 m [4'] spinner shark,bite,m
1994.05.28,28-May-1994,1994.0,Unprovoked,USA,Florida,Spearfishing,M,35,Shoulder bitten,N,2.1 m [7'] shark,bite,m
1994.05.24,24-May-1994,1994.0,Unprovoked,USA,Florida,Wading,F,36,Lower left calf & ankle  lacerated,N,1.2 m [4'] shark,bite,f
1994.05.23,23-May-1994,1994.0,Unprovoked,USA,Florida,Wading,M,26,Gash on ankle,N,,bite,m
1994.05.15,15-May-1994,1994.0,Unprovoked,USA,Florida,Surfing,M,22,Right knee lacerated,N,>1.8 m [6'] shark,bite,m
1994.04.16,Reported 16-Apr-1994,1994.0,Invalid,USA,California,,F,25,Not a shark attack; possibly murder. Body recovered 4-16-1994 minus severed leg. Blue shark bites were post-mortem,,Invalid,bite,f
1994.04.15,15-Apr-1994,1994.0,Unprovoked,REUNION,Saint-Joseph,,,,FATAL,Y,"3 m [10'], 200-kg [441-lb] bull shark",death,
1994.04.06,06-Apr-1994,1994.0,Unprovoked,BAHAMAS,,Wading,M,20?,Lower right  leg bitten,N,2' to 3' shark,bite,m
1994.04.03,03-Apr-1994,1994.0,Unprovoked,USA,Florida,Freediving for seashells,M,71,Left shoulder lacerated,N,,bite,m
1994.04.02,02-Apr-1994,1994.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Spearfishing,M,,FATAL  ,Y,4.9 m white shark,death,m
1994.03.23.b,23-Mar-1994,1994.0,Unprovoked,CHILE,,Swimming alongside NOAA research vessel Discoverer,F,19,Leg severed mid-thigh,N,"3.6 m [11'9""] white shark",bite,f
1994.03.23.a,23-Mar-1994,1994.0,Unprovoked,CHILE,,Swimming alongside NOAA research vessel Discoverer,M,,Thigh bitten,N,"3.6 m [11'9""] white shark",bite,m
1994.03.07,07-Mar-1994,1994.0,Provoked,USA,California,Removing shark from tank in nightclub ,M,33,Arm lacerated by captive shark PROVOKED INCIDENT,N,"Lemon shark, 4' ",bite,m
1994.03.01,01-Mar-1994,1994.0,Unprovoked,BRAZIL,Pernambuco,Surfing,M,25,Leg bitten,N,2 m shark,bite,m
1994.02.27,27-Feb-1994,1994.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Spearfishing,M,,Swim fin bitten,N,3 m [10'] shark,bite,m
1994.02.19,19-Feb-1994,1994.0,Unprovoked,USA,Florida,Surfing,M,23,Left foot bitten,N,1.2 m [4'] shark,bite,m
1994.02.13,13-Feb-1994,1994.0,Provoked,USA,Hawaii,Fishing,M,,Arm bitten while trying to secure shark caught by navy personnel from vessel PROVOKED INCIDENT,N,,bite,m
1994.02.12,12-Feb-1994,1994.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,15,Leg bitten ,N,3 m [10'] white shark,bite,m
1994.02.00,Feb-1994,1994.0,Unprovoked,NEW CALEDONIA,South Province,Fishing,,,"FATAL, right foot severed",Y,,death,
1994.01.31.b,31-Jan-1994,1994.0,Unprovoked,BRAZIL,Pernambuco,Swimming,M,,Right leg bitten,N,,bite,m
1994.01.31.a,31-Jan-1994,1994.0,Unprovoked,USA,Hawaii,Surfing,M,,FATAL,Y,Tiger shark,death,m
1994.01.30,30-Jan-1994,1994.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Windsurfing,M,44,Calf bitten,N,,bite,m
1994.01.12.R,Reported 12-Jan-1994,1994.0,Boat,AUSTRALIA,Western Australia,Fishing,,,"No injury to occupants, shark bit anchor and ladder",N,White shark,no injury,
1994.01.09,09-Jan-1994,1994.0,Unprovoked,AUSTRALIA,Queensland,"Swimming, after falling off towed kneeboard",M,23,Hamstring bitten,N,1.5 m shark,bite,m
1994.01.03,03-Jan-1994,1994.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming ,M,33,Foot bitten,N,"1.3 m [4'3""] shark",bite,m
1994.00.00.b,Last incident of 1994 in Hong Kong,1994.0,Unprovoked,HONG KONG,,Playing volleyball with friends,F,,Both legs lacerated,N,Tiger shark said to be 5 to 7 m [16.5' to 23'] ,bite,f
1994.00.00.a,1994,1994.0,Unprovoked,USA,Florida,Surfing,M,,Foot bitten,N,,bite,m
1993.12.00,Dec-1993,1993.0,Unprovoked,USA,Hawaii,Surfing,M,,FATAL,Y,"On 11-Jan-1994, his remains washed ashore. A 2.4 m [8'] tiger shark thought to be involved",death,m
1993.11.28,28-Nov-1993,1993.0,Unprovoked,USA,Florida,Swimming,M,30,"""Minor cuts to left leg""",N,,bite,m
1993.11.21,21-Nov-1993,1993.0,Unprovoked,AUSTRALIA,Western Australia,Hookah diving,M,27,FATAL,Y,Tiger shark caught 6 days later with divers remains in its gut,death,m
1993.11.12,12-Nov-1993,1993.0,Unprovoked,USA,Hawaii,"Surfing, paddling shorewards",M,,Left leg severely bitten,N,,bite,m
1993.11.00,Nov-1993,1993.0,Unprovoked,SOMALIA,Banaadir Region,Stamding,M,,FATAL,Y,,death,m
1993.10.30,30-Oct-1993,1993.0,Unprovoked,USA,California,Surfing,M,26,Serious injury to left leg,N,4 m to 5 m [13' to 16.5'] white shark,bite,m
1993.10.26,26-Oct-1993,1993.0,Unprovoked,USA,Florida,Swimming,F,26,Thigh & hand lacerated,N,3 m [10'] bull shark,bite,f
1993.10.10,10-Oct-1993,1993.0,Boating,USA,California,Kayaking,F,34,"No Injury, Kayak holed",N,>6 m [20'] white shark,no injury,f
1993.10.00,Oct-1993,1993.0,Unprovoked,USA,Hawaii,Surfing,,,Serious leg wounds,N,Tiger shark,bite,
1993.09.30,30-Sep-1993,1993.0,Unprovoked,SOMALIA,Banaadir Region,Swimming,M,21,FATAL,Y,,death,m
1993.09.26,26-Sep-1993,1993.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Spearfishing,M,36,Calf lacerated,N,3 m [10'] white shark,bite,m
1993.09.16.b,16-Sep-1993,1993.0,Unprovoked,EL SALVADOR,La Libertad,Surfing,,15,Left leg gashed,N,3.7 m [12'] white shark,bite,
1993.09.16.a,16-Sep-1993,1993.0,Unprovoked,EL SALVADOR,La Libertad,Surfing,M,17,"FATAL, arms & legs bitten, then drowned ",Y,,death,m
1993.09.14,14-Sep-1993,1993.0,Unprovoked,USA,Florida,Wading,M,19,Left foot bitten,N,3' shark,bite,m
1993.09.09,09-Sep-1993,1993.0,Unprovoked,USA,Florida,,M,16,Left foot bitten,N,,bite,m
1993.09.03,03-Sep-1993,1993.0,Unprovoked,SPAIN,Costa Blanca,Swimming,M,69,"Thigh bitten, toes of left foot severed",N,1.2 m [4'] shark,bite,m
1993.08.21,21-Aug-1993,1993.0,Unprovoked,BAHAMAS,Walkers Cay,Spearfishing,M,51,Leg bitten,N,1.8 m [6'] blacktip shark or Caribbean reef shark,bite,m
1993.08.19.R,Reported      19-Aug-1993,1993.0,Unprovoked,USA,Florida,Surfing,,13,Right foot bitten,N,,bite,
1993.08.19, 19-Aug-1993,1993.0,Unprovoked,USA,Hawaii,"Surfing, paddling seawards",M,,Abrasions & board bitten,N,,bite,m
1993.08.15.b,15-Aug-1993,1993.0,Boat,USA,California,Watching the shark feeding on a dead pinniped,,,No injury to occupants; shark circled boat repeatedly then rammed the vessel 3 times,N,">6 m white shark, according to witnesses",no injury,
1993.08.15.a,15-Aug-1993,1993.0,Unprovoked,USA,North Carolina,Riding floatation device,F,19,Severe lacerations to abdomen & thighs,N,Bull shark,bite,f
1993.08.14,14-Aug-1993,1993.0,Boat,AUSTRALIA,Western Australia,Fishing,,,"No injury to occupants. Shark struck boat, lifting the outboard motor",N,6 m [20'] white shark,no injury,
1993.08.12,12-Aug-1993,1993.0,Unprovoked,USA,California,Free diving for abalone (ascending),M,39,Severe bites to head & shoulder,N,5.5 m to 6 m [18' to 20']  white shark,bite,m
1993.08.00.b,Aug-1993,1993.0,Unprovoked,NEW CALEDONIA,South Province,Fishing for lobsters,M,,FATAL,Y,,death,m
1993.08.00.a,Aug-1993,1993.0,Boat,EL SALVADOR,La Libertad,Oyster fishing,,,FATAL x 2,Y,White shark?,death,
1993.07.30,30-Jul-1993,1993.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,28,Puncture wounds on chest,N,4 m [13'] white shark,bite,m
1993.07.07,07-Jul-1993,1993.0,Unprovoked,USA,Florida,Playing,F,12,Right knee bitten,N,"1.8 m to 2.4 m [6' to 8'] shark, tooth fragments recovered ",bite,f
1993.06.30,30-Jun-1993,1993.0,Unprovoked,BRAZIL,Pernambuco,Swimming,M,,FATAL,Y,,death,m
1993.06.29,29-Jun-1993,1993.0,Unprovoked,REUNION,Saint-Paul,Body boarding,M,16,Note: see 1992.06.28,N,,bite,m
1993.06.11.b,11-Jun-1993,1993.0,Unprovoked,HONG KONG,New Territories,Swimming,M,61,FATAL,Y,,death,m
1993.06.11.a,11-Jun-1993,1993.0,Unprovoked,MEXICO,Quintana Roo,Scuba diving,F,42,FATAL,Y,,death,f
1993.06.10,10-Jun-1993,1993.0,Unprovoked,USA,Hawaii,Paddling on surfboard or body board,M,22,Feet & ankles bitten,N,Thought to involve a tiger shark,bite,m
1993.06.09,09-Jun-1993,1993.0,Unprovoked,AUSTRALIA,New South Wales,Scuba diving,M,31,FATAL,Y,Remains recovered from 5.5 m [18'] white shark,death,m
1993.06.05,05-Jun-1993,1993.0,Unprovoked,AUSTRALIA,Tasmania,Scuba diving at seal colony,F,34,FATAL,Y,5 m [16.5'] white shark,death,f
1993.06.01,01-Jun-1993,1993.0,Unprovoked,HONG KONG,New Territories,Swimming,M,42,FATAL,Y,,death,m
1993.06.00,Jun-1993,1993.0,Unprovoked,USA,North Carolina,Swimming,F,60's,"No injury, bumped by shark",N,6' shark,no injury,f
1993.05.00.b,Late May 1993,1993.0,Unprovoked,HONG KONG,"On the Kowloon penisula, south of Sai Kung",,F,,"Missing, believed taken by a shark",Y,,bite,f
1993.05.00.a,May 1993,1993.0,Unprovoked,SOMALIA,Banaadir Region,Swimming,F,,FATAL,Y,,death,f
1993.04.00,Apr-1993,1993.0,Invalid,AUSTRALIA,Tasmania,Spearfishing,M,32,No injury ,,Invalid,no injury,m
1993.03.27,27-Mar-1993,1993.0,Unprovoked,BRAZIL,Pernambuco,Surfing,M,,Survived,N,,bite,m
1993.03.22,22-Mar-1993,1993.0,Unprovoked,USA,Florida,Floating on his back,M,25,Both feet lacerated,N,,bite,m
1993.03.17,17-Mar-1993,1993.0,Unprovoked,JAPAN,Ehime Prefecture,,,,Survived,N,Possiby white shark,bite,
1993.03.14,14-Mar-1993,1993.0,Unprovoked,USA,Hawaii,Paddling on surfboard,M,35,Lower legs lacerated ,N,"Tiger shark, 3.7 m [12'], (tooth fragment recovered from wound)",bite,m
1993.03.12,12-Mar-1993,1993.0,Unprovoked,USA,California,Free diving & spearfishing (ascending),M,55,"No injury, swim fin bitten",N,White shark,no injury,m
1993.03.00,Mar-1993,1993.0,Unprovoked,NEW CALEDONIA,South Province,Swimming,,,Hip bitten,N,,bite,
1993.02.19,19-Feb-1993,1993.0,Sea Disaster,TONGA,Tongapatu Group,Sea disaster,M,,Puncture wounds to right thigh,N,,bite,m
1993.02.18,18-Feb-1993,1993.0,Sea Disaster,TONGA,Tongapatu Group,Sea disaster,M,,Foot bitten,N,1.5 m [5'] shark,bite,m
1993.02.04,04-Feb 1993,1993.0,Provoked,AUSTRALIA,Queensland,Fishing,M,69,"Legs lacerated, puncture wound in hand from hooked shark hauled onboard PROVOKED INCIDENT",N,"Bronze whaler shark, 1.5 m ",bite,m
1993.01.23,23-Jan-1993,1993.0,Unprovoked,BRAZIL,Pernambuco,Body boarding,M,15,Left leg bitten,N,,bite,m
1993.01.05,05-Jan-1993,1993.0,Unprovoked,AUSTRALIA,Queensland,Spearfishing,M,21,"6"" laceration to left forearm",N,1.5 m shark,bite,m
1993.01.04,04-Jan-1993,1993.0,Boating,CARIBBEAN SEA,,   ,M,32 & 30,"No injury to occupants. Sharks, attracted to offal from slaughtered dolphin, attacked & damaged their canoe",N,Two 3 m [10'] oceanic whitetip sharks,no injury,m
1993.01.02,02-Jan-1993,1993.0,Unprovoked,USA,Oregon,Surfing,M,29,"No injury, shark bit board",N,6 m [20'] white shark,no injury,m
1993.00.00.d,Fall 1993,1993.0,Unprovoked,ANGOLA,West Africa,Surfing,M,,Right Leg bitten,N,3 m [10'] white shark,bite,m
1993.00.00.c,Between May & Nov-1993,1993.0,Unprovoked,SOMALIA,Banaadir Region,,,,FATAL,Y,,death,
1993.00.00.b,1993,1993.0,Unprovoked,TONGA,Vavau,Spearfishing,,30,Left buttock and thigh bitten,N,,bite,
1993.00.00.a,1993,1993.0,Unprovoked,USA,Florida,Snorkeling,,,Survived,N,Lemon shark,bite,
1992.12.28,28-Dec-1992,1992.0,Unprovoked,USA,Hawaii,"Standing in waist-deep water, helping his father tend a gill net containing dead fish",M,10,Right leg bruised & abraded,N,"Tiger shark, 2.4 m [8']",bite,m
1992.12.23,23-Dec-1992,1992.0,Unprovoked,USA,Hawaii,Lying on surfboard,M,30,"Minor lacerations to hand, 15"" crescent-shaped piece removed from surfboard",N,"Tiger shark, 3 m to 4.9 m [10' to 16'] ",bite,m
1992.11.29,29-Nov-1992,1992.0,Unprovoked,USA,California,Spearfishing / free diving,M,31,10 puncture wounds to right calf,N,"Mako shark, 1.8 m [6']  ",bite,m
1992.11.25.a,25-Nov-1992,1992.0,Unprovoked,USA,Florida,Surfing,M,19,Forearm  & hand bitten; tooth fragments of the shark were recovered from the surfer's hand,N,6' to 7' blacktip shark,bite,m
1992.11.23,23-Nov-1992,1992.0,Unprovoked,USA,Florida,Surfing,M,24,Right ankle bitten,N,1.8 m [6'] shark,bite,m
1992.11.14,14-Nov-1992,1992.0,Boating,USA,California,Kayaking,M,46,"No injury, kayak bitten",N,5 m to 6 m white shark,no injury,m
1992.11.12.R,Reported 12-Nov-1992,1992.0,Unprovoked,FIJI,Wakaya Island,Scuba diving,M,30,Left arm lacerated,N,3 m hammerhead shark,bite,m
1992.11.11,11-Nov-1992,1992.0,Unprovoked,USA,California,Scuba diving (submerged),M,40,Foot punctured,N,Unidentified shark,bite,m
1992.11.05.b,06-Nov-1992,1992.0,Unprovoked,USA,Florida,Surfing,M,17,Heel bitten,N,,bite,m
1992.11.05.a,05-Nov-1992,1992.0,Unprovoked,USA,Hawaii,Body boarding,M,18,Right leg severely lacerated  FATAL,Y,"Tiger shark, 3 m to 3.7 m [10' to 12'] ",death,m
1992.10.29,29-Oct-1992,1992.0,Unprovoked,USA,California,Hookah diving for sea urchins,M,40,Foot & swim fin punctured,N,2.5 m [8.25'] white shark,bite,m
1992.10.22,22-Oct-1992,1992.0,Unprovoked,USA,Hawaii,Surfing,M,28,"Chest & arm bruised & scratched, 15"" crescent-shaped piece removed from board",N,"Tiger shark, 4.3 m [14'] ",bite,m
1992.10.15,15-Oct-1992,1992.0,Unprovoked,AUSTRALIA,New South Wales,Scuba diving,M,,Minor injury while delivering pup of female shark caught in a net,N,Grey nurse shark,bite,m
1992.10.11,11-Oct-1992,1992.0,Unprovoked,BRAZIL,Maranhão,Boogie boarding,,,Legs bitten,N,,bite,
1992.10.01,01-Oct-1992,1992.0,Unprovoked,AUSTRALIA,Queensland,Surfing,M,28,FATAL,Y,4.2 m white shark,death,m
1992.09.18,18-Sep-1992,1992.0,Unprovoked,BRAZIL,Pernambuco,Body boarding,M,,Left leg severely bitten,N,,bite,m
1992.09.13,13-Sep-1992,1992.0,Unprovoked,USA,Oregon,Surfing,M,20,Minor bruises,N,4 m to 5 m [13' to 16.5']  white shark ,bite,m
1992.09.11,11-Sep-1992,1992.0,Unprovoked,USA,Florida,Standing,F,18,Right ankle & calf bitten,N,,bite,f
1992.09.10,10-Sep-1992,1992.0,Unprovoked,BRAZIL,Pernambuco,Swimming,M,,FATAL,Y,,death,m
1992.09.00,Sep-1992,1992.0,Unprovoked,USA,Florida,Surf fishing,M,,"Foot bitten, 8 stitches needed to repair the wound",N,,bite,m
1992.08.29,29-Aug-1992,1992.0,Unprovoked,BAHAMAS,Abaco Islands,"Snorkeling, carrying a speared fish in her hand",F,34,Left hand bitten,N,1.8 m [6'] blacktip shark,bite,f
1992.08.25,25-Aug-1992,1992.0,Unprovoked,AUSTRALIA,South Australia,Surfing,M,17,"Minor cuts, sufboard bitten",N,4 m white shark,bite,m
1992.08.21,21-Aug-1992,1992.0,Invalid,USA,Hawaii,Fell from cliff while fishing & disappeared in strong current,M,,Body recovered next morning. Injuries appeared to be inflicted post mortem,,Questionable incident,bite,m
1992.08.18,18-Aug-1992,1992.0,Unprovoked,USA,California,Surfing,M,22,"No injury, board bitten",N,5.5 m to 6 m [18' to 20'] white shark,no injury,m
1992.08.17,17-Aug-1992,1992.0,Provoked,USA,Florida,Snorkeling,M,26,"Grabbed metal leader to shark, shark clamped on  & bit  left bicep PROVOKED INCIDENT",N,"Nurse shark, 3', 20-lb ",bite,m
1992.08.00,Aug-1992,1992.0,Invalid,USA,Florida,Fisherman,M,,No details,,Questionable incident,bite,m
1992.07.23,23-Jul-1992,1992.0,Invalid,USA,Hawaii,"Zosimo & his son, Jeffrey Popa, failed to return from overnight fishing trip in a 14' boat, Boat apparently sank, debris recovered but his son & boat were never found",M,,"Death due to drowning. His body, tied to floating ice chest, had 2 small post-mortem bites due to cookie cutter shark",,Invalid,bite,m
1992.07.21,21-Jul-1992,1992.0,Unprovoked,USA,Florida,Standing,F,42,Lacerations to left foot,N,"""a small shark""",bite,f
1992.07.08.b,08-Jul-1992,1992.0,Unprovoked,BRAZIL,Maranhão,Surfing,M,,Arm bitten,N,,bite,m
1992.07.08.a,08-Jul-1992,1992.0,Unprovoked,BRAZIL,Maranhão,Surfing,M,,"Lower leg bitten, surgically amputated",N,,bite,m
1992.06.28.b,28-Jun-1992,1992.0,Unprovoked,BRAZIL,Pernambuco,Swimming,M,,FATAL,Y,,death,m
1992.06.28.a,28-Jun-1992,1992.0,Unprovoked,REUNION,Saint-Paul,Surfing,M,16,FATAL,Y,Bull shark or lemon shark,death,m
1992.06.19,19-Jun-1992,1992.0,Unprovoked,VANUATU,Malampa Province,Swimming,F,21,Right leg was bitten above and below the knee and an artery was punctured,N,,bite,f
1992.06.17,17-Jun-1992,1992.0,Boat,JAPAN,Ehime Prefecture,Preparing to fish for jack-mackerel,,,"No inujury to occupant. Shark bit boat repeatedly, leaving  2 teeth in the bottom keel of the boat",N,"White shark, identification by K. Nakaya",bite,
1992.06.00,Jun-1992,1992.0,Unprovoked,REUNION,Saint-Paul,Diving,,,Survived,N,Mako shark,bite,
1992.05.31,31-May-1992,1992.0,Invalid,USA,North Carolina ,Scuba diving ,M,45,Disappeared. His ripped dive jacket was recovered,,Shark involvement prior to death was not confirmed,bite,m
1992.05.22,22-May-1992,1992.0,Unprovoked,REUNION,Saint-Joseph,Surfing,M,,FATAL,Y,"Tiger shark, 3 m to 4 m [10' to 13'] ",death,m
1992.05.00,May 1992,1992.0,Unprovoked,MEXICO,Mexico / Caribbean Sea,Scuba diving & filming,M,,"Fingers, hand & arm bitten",N,,bite,m
1992.04.24,24-Apr-1992,1992.0,Unprovoked,NEW ZEALAND,Antarctic Ocean,Snorkeling,M,,"Right forearm severed, left forearm lacerated & broken",N,"4 m [13'], 590-kg white shark",bite,m
1992.04.09,09-Apr-1992,1992.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,35,Punctures & lacerations on lower leg,N,>2 m shark,bite,m
1992.03.28,28-Mar-1992,1992.0,Unprovoked,USA,Hawaii,"Surfing, paddling seawards",F,36,"Foot bitten, crescent of bitemarks in both sides of board",N,Tiger shark,bite,f
1992.03.10,10-Mar-1992,1992.0,Unprovoked,AUSTRALIA,Victoria,Surfing,M,17,"Right thigh, back & hand lacerated",N,"Bronze whaler shark, 3 m",bite,m
1992.03.08.c,08-Mar-1992,1992.0,Unprovoked,JAPAN,Ehime Prefecture,Hookah diving for pen shells ,M,41,"FATAL, body not recovered",Y,"5 m [16.5'] white shark, identification by K. Nakaya",death,m
1992.03.08.b,08-Mar-1992,1992.0,Boat,JAPAN,Ehime Prefecture,"Fishing for yellowtail, Seriola quinqueradiata",,,No injury to boat or occupant,N,,no injury,
1992.03.08.a,08-Mar-1992,1992.0,Unprovoked,USA,Oregon,Surfing (sitting on his board),M,21,"Left shoulder & side bitten, board broken",N,Said to involve a 6 m to 7 m [20' to 23'] white shark,bite,m
1992.02.19,19-Feb-1992,1992.0,Unprovoked,USA,Hawaii,Body boarding,M,,FATAL Disappeared. His board washed ashore next morning with crescent-shaped piece missing and serrated toothmarks of a shark,Y,Tiger shark?,death,m
1992.02.14,14-Feb-1992,1992.0,Unprovoked,JAPAN,Ehime Prefecture,Diving for pen shells,M,,"No injury, steel diving helmet bitten 3 times",N,5 m [16.5'] shark,no injury,m
1992.02.09,09-Feb-1992,1992.0,Invalid,AUSTRALIA,Tasmania,Surfing,M,19,"No injury, shark allegedly took his surfboard & slashed his wetsuit. Shark involvement questionable",,Questionable incident,no injury,m
1992.01.29.b,29-Jan-1992,1992.0,Unprovoked,REUNION,La Saline-les-Bains,Spearfishing,M,,Survived,N,1.8 m grey shark,bite,m
1992.01.29.a,29-Jan-1992,1992.0,Unprovoked,AUSTRALIA,New South Wales,Boogie boarding,M,19,Right leg lacerated,N,"Bronze whaler shark, 2.3 m [7.5'] ",bite,m
1992.01.23,23-Jan-1992,1992.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming ,M,19,Right foot lacerated,N,"Zambesi shark, 1.7 m [5.5'] ",bite,m
1992.01.08,08-Jan-1992,1992.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Spearfishing,M,36,Left cheek lacerated,N,Possibly a 1.5 m [5'] blacktip shark,bite,m
1992.01.06,06-Jan-1992,1992.0,Unprovoked,MAURITIUS,,Fishing,M,,Survived,N,Grey reef shark,bite,m
1992.01.03,03-Jan-1992,1992.0,Unprovoked,JAPAN,Ehime Prefecture,,M,,Survived,N,,bite,m
1992.01.00,Jan-1992,1992.0,Invalid,JAPAN,Sea of Japan,,,,Survived. questionable incident,,Questionable incident,bite,
1992.00.00,1992,1992.0,Unprovoked,FIJI,Tavenui,,M,33,FATAL,Y,,death,m
1991.12.04,04-Dec-1991,1991.0,Unprovoked,USA,California,Hookah diving for sea urchins,M,25,"No injury, shark became tangled in hose & towed him 100'",N,6 m [20'] white shark,no injury,m
1991.11.26.b,26-Nov-1991,1991.0,Unprovoked,USA,Hawaii,Snorkeling,F,41,"FATAL, right leg at hip, left leg and right forearm severed  ",Y,"Tiger shark, 2.4 m 3.4 m [8' to 11']  ",death,f
1991.11.26.a,26-Nov-1991,1991.0,Unprovoked,USA,Hawaii,Snorkeling,F,,Right calf abraded,N,"Tiger shark, 2.4 m 3.4 m [8' to 11']  ",bite,f
1991.11.19,19-Nov-1991,1991.0,Unprovoked,USA,Hawaii,"Fishing from rocks, swept out to sea by large wave & treading water",M,,"Body not recovered, shorts found indicating shark bite on left side",Y,"Tiger shark, 3.7 m [12'] ",bite,m
1991.11.14,14-Nov-1991,1991.0,Provoked,USA,Florida,Fishing,M,,Hand bitten as he was cleaning hooked shark PROVOKED INCIDENT,N,2.4 m [8'] shark,bite,m
1991.11.00,Nov-1991,1991.0,Unprovoked,AUSTRALIA,Western Australia,Boogie boarding,M,14,Calf scratched & chunk bitten from board,N,"""small shark""",bite,m
1991.10.12,12-Oct-1991,1991.0,Unprovoked,USA,Florida,Surfing,M,21,Right foot & ankle lacerated,N,1.8 m [6'] shark,bite,m
1991.10.05,05-Oct-1991,1991.0,Unprovoked,USA,California,Surfing,M,32,"Arm, shoulder & back bitten",N,5 m to 6 m [16.5' to 20'] white shark,bite,m
1991.09.19,19-Sep-1991,1991.0,Invalid,BAHAMAS,,Spearfishing,M,32,"Initally reported as a shark attack, forensic examination concluded cause of death was drowning",,Invalid,bite,m
1991.09.08,08-Sep-1991,1991.0,Unprovoked,AUSTRALIA,South Australia,Scuba diving,M,19,FATAL,Y,4 m [13'] white shark,death,m
1991.08.30,30-Aug-1991,1991.0,Provoked,AUSTRALIA,Queensland,Finning the shark that bit him,M,36,"Shark bit his arm, nearly severing it PROVOKED INCIDENT",N,"3 m [10'], 270- kg [595-lb] shark",bite,m
1991.08.26,26-Aug-1991,1991.0,Unprovoked,USA,South Carolina,Swimming,M,23,Deep cuts on lower leg,N,sand shark,bite,m
1991.08.12,12-Aug-1991,1991.0,Unprovoked,USA,Florida,Wading,F,10,Bite to left thigh & calf,N,3' shark,bite,f
1991.08.09,09-Aug-1991,1991.0,Provoked,USA,Florida,Fishing,M,,Laceration to right forearm PROVOKED INCIDENT,N,"Lemon shark, 30-lb ",bite,m
1991.07.30,30-Jul-1991,1991.0,Boating,ITALY,Ligurian Sea,Canoeing,F,40,No Injury to occupant; canoe bitten,N,4 m [13'] white shark,no injury,f
1991.07.27,27-Jul-1991,1991.0,Unprovoked,USA,Florida,Snorkeling,M,39,Arm bitten,N,"2.1 m [7'], 140-lb reef shark",bite,m
1991.07.18,18-Jul-1991,1991.0,Unprovoked,USA,Florida,Swimming from makeshift raft  to life vest after fishing boat sank,M,42,Punctures in lower abdomen & groin ,N,1.8 m [6'] blacktip shark,bite,m
1991.07.07,07-Jul-1991,1991.0,Unprovoked,USA,Florida,Swimming,M,22,Arm bitten,N,,bite,m
