clean_date,country,age_2,sex,injury,fatal,activity_verb2
April,AUSTRALIA,19.0,M,2 puncture wounds to leg,,surfing
April,USA,30.0,M,Puncture wounds to right foot,N,surfing
April,FIJI,,M,Left forearm bitten ,N,fishing
March,USA,15.0,M,Shin bitten,N,Close to the water
April,USA,,,Foot bitten,N,surfing
April,AUSTRALIA,16.0,M,FATAL,Y,surfing
April,USA,18.0,M,Right foot & ankle bitten,N,surfing
March,SOUTH AFRICA,39.0,M,Right leg bitten,N,fishing
March,USA,52.0,M,Foot bitten,N,surfing
March,USA,,M,Right foot bitten,N,surfing
March,USA,13.0,M,Three small lacerations/ punctures to right foot,N,surfing
March,USA,14.0,M,Two 3-inch lacerations to right ankle,N,Close to the water
March,USA,8.0,M,Minor injury,N,vessel related
March,USA,27.0,M,"No injury to surfer, surfboard bitten by the shark",N,surfing
February,BAHAMAS,49.0,M,"Leg bitten, FATAL",Y,swimming
February,FRENCH POLYNESIA,26.0,M,Lacerations to face,N,fishing
February,USA,25.0,M,Lacerations to foot,N,surfing
February,AUSTRALIA,14.0,F,Abrasions to elbow; collided with shark,N,surfing
February,USA,,M,Lacerations to foot,N,vessel related
,JAPAN,,M,"No injury, captive shark attempted to bite diver's arm PROVOKED INCIDENTt",,swimming
January,SOUTH AFRICA,42.0,M,"No injury to surf-skiier, shark holed ski",N,vessel related
January,AUSTRALIA,20.0,M,Laceration to left knee PROVOKED INCIDENT,N,other activity
January,NEW ZEALAND,,M,"Stingray envenomation, not a shark",,Close to the water
January,NEW ZEALAND,,,"No injury to occupants, pontoon punctured",N,other activity
January,USA,20.0,M,Left foot bitten,N,surfing
,USA,,M,Minor injury to hand by hooked shark   PROVOKED INCIDENT,N,fishing
,MEXICO,26.0,M,Leg bitten,N,surfing
December,ECUADOR,24.0,M,Lacerations & puncture wounds  to left thigh,N,surfing
December,BRITISH VIRGIN ISLANDS,53.0,M,Shark bites were post-mortem,,swimming
December,AUSTRALIA,31.0,M,Severe lacerations to right buttock,N,surfing
December,AUSTRALIA,,M,Lacerations to hand,N,swimming
December,AUSTRALIA,34.0,M,Lacerations to left forearm,,swimming
December,USA,52.0,M,"No injury, shark bit surfboard ",N,surfing
December,NEW ZEALAND,,F,"No injury, shark bit surfboard & severed leash",N,surfing
December,BRAZIL,28.0,M,20 cm injury to left foot,N,other activity
November,AUSTRALIA,32.0,M,Minor injury to finger by netted shark PROVOKED INCIDENT,N,fishing
November,AUSTRALIA,,M,"No injury, teethmarks in board & torn wetsuit",N,surfing
November,SOUTH AFRICA,14.0,M,Lacerations to feet,N,surfing
November,USA,21.0,M,Cut to right knee,N,surfing
November,USA,42.0,M,Lacerations to right leg,N,surfing
November,SOUTH AFRICA,37.0,M,Lacerations to thigh,N,surfing
November,MEXICO,,M,White shark breached cage. No injury to occupants,,swimming
October,USA,32.0,M,Lacerations to left lower leg,N,swimming
October,AUSTRALIA,52.0,F,small laceration to wrist,N,vessel related
October,AUSTRALIA,31.0,M,Laceration to calf,N,fishing
October,USA,22.0,M,4 scratches on left hand,N,surfing
October,USA,16.0,M,Severe lacerations to right hand,N,surfing
September,USA,,M,Puncture wound to foot,N,surfing
September,PHILIPPINES,,M,"FATAL        Only 4 of the 18 on board were rescued, some of the missing were allegedly killed by sharks",Y,other activity
September,NEW CALEDONIA,23.0,F,FATAL,Y,swimming
September,BAHAMAS,48.0,F,Thigh bitten,N,fishing
September,USA,,F,"No injury to surfer, surfboard bitten",N,surfing
September,EGYPT,19.0,F,"Severe lacerations to lower left leg, ankle and foot",N,swimming
September,USA,,F,Shark involvement prior to death unconfirmed,,swimming
September,USA,,F,Laceration to foot,N,surfing
September,USA,23.0,M,Small lacerations to bottom of right big toe,N,surfing
September,SOLOMON ISLANDS,,M,Left thigh bitten,N,fishing
September,USA,56.0,M,Laceration to right heel,N,Close to the water
September,USA,,F,"No injury, surfboard bitten",N,surfing
September,USA,14.0,M,"Minor injury, shark latched onto his abdomen",N,swimming
September,USA,58.0,F,Puncture wounds & 2-inch laceration to calf,N,Close to the water
September,USA,36.0,F,Laceration to right big toe,N,Close to the water
September,USA,15.0,M,Lacerations to left calf and both feet ,N,Close to the water
September,USA,12.0,F,Tiny punctures to arm,N,other activity
September,USA,58.0,M,"3"" laceration to left forearm",N,swimming
August,USA,15.0,M,Laceration to right heel,N,surfing
August,USA,24.0,M,Lacerations to thigh & torso,N,surfing
August,USA,54.0,M,Left hand  bitten,N,surfing
August,USA,27.0,M, 6 lacerations to left hand,N,surfing
August,USA,,M,Minor injury from captive shark PROVOKED INCIDENT,N,swimming
August,USA,,M,Forearm bitten by hooked shark PROVOKED INCIDENT,N,fishing
August,USA,52.0,M,Torso bitten,N,swimming
August,USA,16.0,M,Foot bitten,N,surfing
August,USA,7.0,M,Right calf bitten,N,other activity
August,USA,20.0,M,Puncture wounds to torso,N,swimming
August,USA,15.0,F,"Minor injury, small lacerations to right foot",N,swimming
August,USA,19.0,M,"Minor injury, lacerations to left ankle & foot ",N,surfing
August,USA,30.0,M,Lacerations to right foot,N,swimming
August,USA,9.0,M,Lacerations to lower leg & ankle,N,surfing
August,USA,19.0,F,Lacerations to arm,N,other activity
July,USA,51.0,M,Minor injury to shoulder,N,surfing
July,USA,20.0,M,"No injury, shark bit surfboard",N,surfing
July,USA,,M,"No injury, surfboard bumped by shark for 20 minutes",N,surfing
July,USA,,M,"No injury, kayak bitten",N,fishing
July,USA,36.0,M,Left calf severely bitten,N,swimming
July,AUSTRALIA,15.0,M,Calf bitten,N,Close to the water
July,USA,14.0,M,Right calf bitten,N,swimming
July,NORWAY,48.0,M,PROVOKED INCIDENT           No injury. Diver touched 'dead' shark; shark bit his equipment-covered arm,N,swimming
July,USA,43.0,F,Foot injured. Shark involvment uncomfirmed,,swimming
July,USA,30.0,F,Lacerations to right thigh & left foot,N,Close to the water
July,BAHAMAS,48.0,F,"Lacerations to thumb, ring and pinky fingers of right hand ",N,fishing
July,USA,18.0,M,Right foot bitten,N,surfing
July,REUNION,17.0,M,Minor injuries to thigh & knee ,N,surfing
July,SENEGAL,,,,,other activity
June,USA,,M,Lacerations to right  hand by hooked shark PROVOKED INCIDENT,N,other activity
June,USA,,F,Hand bitten,N,swimming
June,USA,20.0,M,6 to 8 puncture wounds to right hand,N,surfing
June,USA,,M,"No injury, board damaged",N,surfing
June,USA,9.0,F,Superficial injuries to upper leg may have been caused by surfboard fin,,surfing
June,USA,,F,Right foot bitten,N,swimming
June,AUSTRALIA,,M,Lacerations to leg & ankle,N,surfing
May,USA,,F,Lacerations to lower leg,N,Close to the water
May,USA,40.0,F,Left shin bitten by captive shark PROVOKED INCIDENT,N,other activity
May,ENGLAND,38.0,M,Bitten on the nose by a hooked shark PROVOKED INCIDENT,N,fishing
May,AUSTRALIA,38.0,F,Left heel & calf bitten,N,Close to the water
May,AUSTRALIA,19.0,M,"No injury, shark's fin caught his leg",N,surfing
May,USA,21.0,F,Knee bitten,N,surfing
May,SEYCHELLES,,M,No injury,N,swimming
May,AUSTRALIA,45.0,M,Shark involvement prior to death unconfirmed,,swimming
May,USA,63.0,F,Right foot bitten,N,swimming
May,USA,68.0,M,Circular bite on left thigh,N,swimming
May,TURKS & CAICOS,,,Some of the bodies recovered had been bitten by sharks,Y,other activity
May,BAHAMAS,20.0,F,Lacerations to right upper arm by captive shark PROVOKED INCIDENT,N,other activity
April,AUSTRALIA,13.0,F,Lower leg & foot injured,N,swimming
April,USA,12.0,M,Left foot bitten,N,surfing
April,USA,24.0,M,Lacerations to left index finger & thumb ,N,surfing
April,USA,,,"No injury to occupants, shark holed the transom-mounted livewell ",N,fishing
April,NEW CALEDONIA,26.0,M,Left foot bitten,N,surfing
April,USA,7.0,M,Lacerations & puncture wounds to right calf,N,other activity
March,USA,27.0,M,Lacerations to right ankle ,N,surfing
March,USA,9.0,M,Minor cuts to right buttock & thigh,N,other activity
March,YEMEN,,,"FATAL,  beaten & thrown overboard by smugglers, they  were killed by sharks",Y,other activity
March,USA,11.0,M,Punctures & lacerations to right calf & calf,N,surfing
March,AUSTRALIA,42.0,F,Lacerations to 3 fingers of left hand ,N,surfing
March,USA,,M,Right hand bitten by hooked shark PROVOKED INCIDENT,N,fishing
March,AUSTRALIA,59.0,F,"Bruises to arm and hand, laceration to lower leg & minor injuries to foot",N,swimming
March,USA,29.0,M,Lacerations to right forearm & hand,N,surfing
March,NEW ZEALAND,16.0,M,Leg bitten  by shark after he shot at it & missed  PROVOKED INCIDENT,N,fishing
February,COSTA RICA,36.0,M,Death due to drowning. Shark bite may have been postmortem,,swimming
February,AUSTRALIA,26.0,M,Lacerations to  lower left leg & ankle ,N,surfing
February,NEW CALEDONIA,,M,Survived,N,fishing
January,NEW CALEDONIA,30.0,M,Leg bitten,N,swimming
January,USA,,,"A large shark rammed boat, breaking prop shaft. No injury to occupants but boat sank several hours later",N,fishing
January,AUSTRALIA,41.0,M,Head & torso bitten,N,swimming
January,AUSTRALIA,20.0,M,Shark involvement prior to death unconfirmed,,swimming
January,SOUTH AFRICA,24.0,M,"Presumed FATAL, body not recovered",Y,swimming
January,AUSTRALIA,,M,"No injury, shark damaged surfboard",N,surfing
January,USA,54.0,M,No injury,,surfing
January,USA,24.0,M,"No injury, shark removed piece of surfboard",N,surfing
December,AUSTRALIA,25.0,M,Left leg bitten,N,surfing
December,NEW ZEALAND,10.0,M,Foot bitten,N,surfing
December,USA,43.0,M,"Minor injuries, surfboard bitten",N,surfing
December,SOUTH AFRICA,25.0,M,"Hand, thigh & calf bitten by hooked shark PROVOKED INCIDENT",N,fishing
December,AUSTRALIA,15.0,M,"Right leg severed, left leg lacerated",N,surfing
November,PHILIPPINES,,,15 perished but shark involvement prior to death was not confirmed,Y,other activity
November,USA,29.0,M,Laceration to left thigh & left hand,N,swimming
November,SOUTH AFRICA,,M,Left arm lacerated when he grabbed shark by its tail PROVOKED INCIDENT,N,vessel related
October,USA,22.0,M,"No injury, surfboard bitten",N,surfing
October,USA,15.0,M,Lower right leg and foot bitten,N,fishing
October,USA,20.0,M,Left ankle bitten,N,surfing
October,USA,,M,Lacerations to lower left leg,N,surfing
October,USA,18.0,M,Lacerations to foot,N,other activity
October,BAHAMAS,26.0,F,Puncture wounds to left foot,N,swimming
October,GULF OF ADEN,,,"FATAL,  beaten & thrown overboard by smugglers, they  were killed by sharks",Y,other activity
September,SOUTH AFRICA,36.0,M,No injury; 4m white shark made a threat display,,fishing
September,USA,19.0,M,Big toe bitten,N,surfing
September,USA,,M,Lacerations to upper lip    PROVOKED INCIDENT,N,swimming
September,USA,16.0,M,Laceration to left thigh,N,surfing
September,USA,55.0,M,Minor injury to left hand,N,swimming
September,USA,52.0,M,Left torso grazed,N,surfing
September,AUSTRALIA,44.0,M,"Killed by a stingray, not a shark - a tragedy for his family and marine wildlife",,swimming
September,BRAZIL,20.0,M,FATAL,Y,other activity
September,USA,33.0,M,Puncture wounds and cuts to right thigh,N,Close to the water
September,USA,12.0,M,Arm bitten,N,swimming
September,SOUTH AFRICA,37.0,M,"No injury, shark rammed surfboard",N,surfing
August,USA,23.0,M,Laceration & puncture wounds to foot,N,surfing
August,AUSTRALIA,,M,"No injury, shark towed  surfer & board",N,surfing
August,REUNION,27.0,M,Laceration to right calf & heel,N,surfing
August,BRAZIL,17.0,M,Shark bites may have been post mortem,,other activity
August,BELIZE,34.0,M,Shark involvement prior to death not confirmed,,fishing
August,ITALY,,M,FATAL,Y,other activity
August,REUNION,34.0,M,FATAL,Y,surfing
August,SOUTH AFRICA,,M,"No injury, surfboard leash severed",N,surfing
August,SOUTH AFRICA,24.0,M,Foot severed,N,other activity
August,USA,59.0,F,Lacerations & punctures to left foot,N,Close to the water
August,REUNION,,M,Thigh bitten,N,fishing
July,USA,,,"Minor injuries, similar to paper cuts from the captive sharks  PROVOKED INCIDENTS",N,other activity
July,USA,41.0,M,Minor injury,N,surfing
July,USA,,M,"Bruises, laceration to head, spinal cord injury & neck broken at C5/C6 ",N,surfing
July,USA,15.0,M,Foot bitten,N,surfing
July,SOUTH AFRICA,19.0,M,"No injury, surf ski bitten",N,vessel related
July,USA,14.0,M,Minor lacerations to right foot,N,surfing
July,USA,,M,Right foot bitten,N,fishing
July,AUSTRALIA,,,8 shark-bitten bodies washed ashore,,other activity
July,USA,49.0,M,Left ankle & foot bitten,N,Close to the water
July,SPAIN,7.0,F,Hand & wrist severely bitten,,swimming
July,USA,21.0,F,Ankle & foot bitten,N,swimming
July,BRAZIL,,M,FATAL,Y,other activity
July,USA,40.0,M,Dorsum of left foot bitten,N,Close to the water
July,USA,11.0,M,Lower leg & ankle bitten,N,Close to the water
July,USA,14.0,F,Foot bitten,N,surfing
July,USA,13.0,M,Right calf bitten,N,swimming
July,USA,28.0,F,Lacerations & puncture wound  to arm,N,fishing
July,USA,35.0,M,Minor injuries,N,fishing
June,USA,9.0,F,Right calf bitten,N,surfing
June,USA,,M,Non-swimmer pulled off pier& into the water by a hooked shark PROVOKED INCIDENT,N,fishing
June,BAHAMAS,25.0,M,Right arm severely bitten,N,fishing
June,USA,22.0,F,2-inch puncture wounds on right foot,N,surfing
June,BRAZIL,27.0,M,Left thigh bitten FATAL,Y,surfing
June,USA,43.0,M,"No injury, shark bit scuba tank boot",N,swimming
June,USA,24.0,M,Four 1-inch puncture wounds on left foot ,N,surfing
June,USA,7.0,F,Lacerations & puncture wounds to left foot & buttocks,N,other activity
June,AUSTRALIA,40.0,M,"No injury, knocked off surfboard",N,surfing
May,USA,26.0,M,"4"" laceration to left forearm",N,fishing
May,USA,,,"No injury to occupants, boat damaged by hooked shark PROVOKED INCIDENT",N,other activity
May,USA,31.0,M,"No injury, shark bumped surfboard",N,surfing
May,USA,15.0,M,Knee bitten after diver poked shark PROVOKED INCIDENT,N,fishing
May,BRAZIL,33.0,M,"Injuries to left thigh, calf & foot",N,surfing
May,USA,,F,Laceration to leg,N,swimming
May,USA,,M,Small lacerations to arm,N,other activity
May,USA,,F,2 lacerations on lower right leg,N,swimming
May,AUSTRALIA,46.0,M,Abrasion & 6 puncture wounds on chest after grabbing the shark by its tail PROVOKED INCIDENT,N,swimming
April,USA,,M,Shark bites post mortem,,other activity
April,USA,54.0,M,Feet bitten,N,surfing
April,USA,13.0,F,3 tiny punctures & small lacerations on right ankle,N,Close to the water
April,USA,35.0,M,3 to 4 cm laceration on foot from hooked shark brought on board PROVOKED INCIDENT,N,fishing
April,AUSTRALIA,15.0,M,Minor laceration to left foot,N,surfing
April,SOUTH AFRICA,15.0,M,Leg bitten,N,surfing
April,BRAZIL,35.0,M,Left leg bitten,N,swimming
April,USA,11.0,M,Minor injury to right hand & thigh,N,Close to the water
March,Sierra Leone,,M,Reportedly FATAL but few details,Y,fishing
March,USA,28.0,F,5 puncture wounds in left calf,N,surfing
March,SOUTH AFRICA,17.0,M,"FATAL, but shark involvement prior to death unconfirmed",,swimming
March,FIJI,21.0,M,Lacerations to right hand,N,surfing
March,AUSTRALIA,15.0,M,"No injury, shark nudged surfboard",N,surfing
February,USA,15.0,F,Deep laceration to right calf,N,Close to the water
February,USA,45.0,M,Forensic examination suggested diver drowned & afterwards his body was bitten by a shark/s,,swimming
February,AUSTRALIA,18.0,M,Lacerations to foot,N,Close to the water
February,AUSTRALIA,,M,Puncture wound on arm,N,swimming
February,AUSTRALIA,,M,No injury to occupants; shark nudged the 5.3 m boat,N,fishing
February,SOUTH AFRICA,15.0,M,2 bite marks on right calf,N,surfing
February,TONGA,24.0,F,Severe bite to right leg FATAL,Y,swimming
February,USA,57.0,M,No injury to occupant; shark bumped the kayak repeatedly for 15 minutes,N,vessel related
January,ATLANTIC OCEAN,40.0,M,No injury to occupants; shark rammed boat repeatedly,N,vessel related
January,SOUTH AFRICA,34.0,M,Right arm  bitten,N,fishing
January,ATLANTIC OCEAN,27.0,F,"No injury to occupants; a shark, accidentally caught in a line, threatened to rip out the transom",N,vessel related
January,USA,,M,"No injury, but 2 small nicks on wetsuit",N,surfing
January,AUSTRALIA,52.0,M,Lacerations to left elbow,N,swimming
January,BAHAMAS,,M,"No injury, divers felt threatened by 10' pregnant female tiger shark & killed the shark",,swimming
January,AUSTRALIA,21.0,F,FATAL,Y,swimming
January,USA,21.0,M,3 puncture wounds in right wrist & hand,N,surfing
January,SOUTH AFRICA,49.0,M,Lacerations to little finger,N,swimming
December,USA,30.0,M,Lacerations to ankle & calf,N,surfing
December,USA,29.0,M,Left hand bitten,N,swimming
December,ATLANTIC OCEAN,,,"No injury to occupants, shark rammed boat for 15 minutes",N,vessel related
December,AUSTRALIA,44.0,M,Right forearm & elbow bitten,N,fishing
December,AUSTRALIA,,,"No injury to occupants, hydrofoil of outboard motor bitten ",N,fishing
November,USA,,M,Left foot bitten,N,surfing
November,USA,23.0,M,Right thumb & palm lacerated,N,surfing
November,AUSTRALIA,,,"No injury to occupant, shark bit outboard motor",N,fishing
November,AUSTRALIA,18.0,M,"2 lacerations on leg, each 4"" to 5"" long",N,surfing
November,SOUTH AFRICA,26.0,M,"Cut on finger, board bitten",N,surfing
November,NEW CALEDONIA,,,Arm bitten,N,fishing
November,USA,,M,Left foot bitten,N,surfing
November,USA,17.0,M,Lacerations to right thigh,N,surfing
November,NEW CALEDONIA,,,"No injury to occupants, shark lifted bow of boat 3 times",N,other activity
November,SOUTH AFRICA,32.0,M,Lacerations to hands & right leg when he tried to pull shark from the water PROVOKED INCIDENT,N,fishing
November,USA,18.0,M,Puncture wounds to right foot,N,surfing
November,USA,25.0,M,"No injury, board bitten",N,surfing
November,USA,26.0,M,"No injury, board bumped",N,surfing
October,USA,15.0,M,Puncture wounds to foot,N,Close to the water
October,ST. MAARTIN,55.0,M,Lower right leg lacerated,N,Close to the water
October,SOUTH AFRICA,20.0,M,Right foot bitten,N,surfing
October,USA,36.0,M,No injury,N,surfing
October,USA,20.0,F,Leg bitten,N,surfing
October,USA,15.0,M,Minor cuts to dorsum & sole of left foot when he stepped on shark PROVOKED INCIDENT,N,Close to the water
October,USA,22.0,M,"No injury, surfboard bitten",N,surfing
October,GRAND CAYMAN,57.0,F,No injury ,N,swimming
October,USA,48.0,M,Five 1-inch lacerations to left foot,N,surfing
October,BAHAMAS,35.0,M,Lacerations to right side of face,N,swimming
October,SOUTH AFRICA,52.0,M,"No injury, shark bit ski",N,vessel related
September,AUSTRALIA,28.0,M,"No injury, knocked off board",N,surfing
September,AUSTRALIA,26.0,M,Lacerations to legs,N,surfing
September,AUSTRALIA,44.0,M, No injury,N,surfing
September,USA,,M,Lacerations to dorsum of left foot,,surfing
September,USA,68.0,F,"Injuries to fingers, calf  & heel",N,surfing
September,USA,18.0,M,FATAL,Y,surfing
September,AUSTRALIA,15.0,M,Left foot & ankle lacerated,N,Close to the water
September,USA,18.0,F,Calf severely lacerated,N,Close to the water
September,AUSTRALIA,40.0,M,Lacerations to right arm & thigh,N,surfing
September,USA,62.0,M,Right foot bitten,N,surfing
September,THAILAND,21.0,M,FATAL PROVOKED INCIDENT,Y,other activity
August,AUSTRALIA,23.0,M,FATAL,Y,swimming
August,USA,37.0,M,Lower right leg lacerated,N,surfing
August,USA,17.0,M,"Laceration to knee, possibly by a  small blacktip shark",,surfing
August,USA,8.0,M,Bitten underneath left arm,N,swimming
August,USA,12.0,M,Left foot bitten,N,Close to the water
August,SOUTH AFRICA,,,Human foot recovered from the water,,other activity
August,USA,16.0,M,Laceration on right wrist & crescent of puncture wounds on  forearm ,N,surfing
August,USA,14.0,M,Puncture wounds on left foot ,N,swimming
August,Seychelles,,M,"FATAL, shark involvement prior to death is unconfirmed",,fishing
July,USA,13.0,F,Laceration on the back of left hand & toothmarks on wrist,N,Close to the water
July,USA,61.0,M,"Right foot: Toes and back of foot, minor injury",N,surfing
July,USA,25.0,M,"Straight 2.5"" laceration on top of left ankle",,surfing
July,LIBERIA,,M,Presumed to have drowned until his body washed ashore 2 weeks later with shark bites,,swimming
July,CHINA,24.0,M,2 small cuts on right ear & head when he collided with the captive shark. PROVOKED INCIDENT,N,swimming
July,AUSTRALIA,,,"A hoax - No shark was involved and Wells' ""daughter"" was his business partner Eileen Purchase who injured her finger on his boat",,other activity
July,USA,22.0,M,Lacerations of left forearm,N,swimming
July,USA,14.0,F,Left foot bitten,N,other activity
July,USA,19.0,M,Ankle bitten,N,Close to the water
June,USA,16.0,M,"Leg severely bitten, surgically amputated",N,fishing
June,USA,14.0,F,"FATAL, leg bitten",Y,swimming
June,VANUATU,7.0,F,FATAL,Y,swimming
June,MEXICO ,,M,Left foot bitten,N,surfing
June,USA,49.0,M,"No injury, 2.1m [7'] tiger shark approached swimmer who repelled it with his fist",,swimming
June,USA,20.0,M,Foot bitten,N,swimming
June,SOUTH KOREA,38.0,F,Knee bitten,N,swimming
June,USA,11.0,F,Foot lacerated,N,surfing
June,USA,17.0,M,Dorsum of foot/ankle  injured by surfboard skeg or other inanimate object.,,surfing
June,SOUTH AFRICA,22.0,M,FATAL,Y,swimming
June,USA,6.0,M,Two 2-inch lacerations on right foot,N,Close to the water
May,USA,33.0,M,Left foot bitten,N,swimming
May,USA,,F,Right arm & torso bitten,N,other activity
May,SOUTH AFRICA,32.0,M,Left buttock  & legs lacerated ,N,surfing
May,AUSTRALIA,,M,Severe injury to lower leg,N,fishing
May,USA,,,"No injury, shark bit kayak",N,vessel related
May,MADAGASCAR,,M,Thigh bitten,N,fishing
May,USA,,M,No injury,N,other activity
May,USA,47.0,M,"No injury, board damaged",N,surfing
April,AUSTRALIA,25.0,M,Laceration on left thigh PROVOKED INCIDENT,N,fishing
April,AUSTRALIA,,,Shark-bitten surfboard found adrift,N,other activity
April,AUSTRALIA,20.0,M,Minor cuts above his right eye,N,fishing
April,AUSTRALIA,40.0,M,"No injury, board bitten",N,surfing
April,USA,70.0,F,Right lower leg bitten,N,Close to the water
April,USA,52.0,M,Foot injured ,,surfing
April,USA,37.0,M,Left foot bitten ,N,surfing
April,USA,,F,Left calf injured,N,other activity
April,HONDURAS,,F,"Laceration on siide of calf, small laceration on thigh, large bruise on other leg inside the knee, knuckle of hand abraded",,swimming
March,SOUTH AFRICA,32.0,M,"Lacerations to right calf, puncture wounds on right foot",N,surfing
March,AUSTRALIA,,M,"No injury, shark rammed surfboard",N,surfing
March,VENEZUELA,,M,Right leg bitten,N,surfing
March,AUSTRALIA,26.0,M,FATAL,Y,swimming
March,USA,45.0,M,2 punctures on forearm as captive shark collided with diver PROVOKED INCIDENT,N,swimming
March,SOUTH AFRICA,51.0,M,Bites by 2.5 m tiger shark were post mortem,,other activity
March,NEW ZEALAND,,M,"No injury, netted shark dragged them 350 metres out to sea PROVOKED INCIDENT",N,fishing
March,SOLOMON ISLANDS,,M,Thighs bitten,N,swimming
February,AUSTRALIA,18.0,M,Finger bitten,N,swimming
February,USA,,M,Speared shark bit his chest PROVOKED INCIDENT,N,fishing
February,USA,,M,"No injury, knocked off board, shark bit board",N,surfing
February,USA,,M,Hand bitten,N,fishing
February,BRAZIL,12.0,M,Right thigh & ankle injured,N,surfing
January,CUBA,19.0,M,Left foot severed,N,swimming
January,AUSTRALIA,,M,No injury. Towed by speared shark PROVOKED INCIDENT,N,fishing
January,AUSTRALIA,,,"No injury to occupants, one of the boat's flotation tanks holed PROVOKED INCIDENT",N,vessel related
January,NEW ZEALAND,39.0,M,"No injury, kayak bumped repeatedly",N,fishing
December,SRI LANKA,11.0,F,No injury,,other activity
December,AUSTRALIA,18.0,M,FATAL,Y,other activity
December,AUSTRALIA,38.0,M,"FATAL, leg bitten",Y,fishing
November,SOUTH AFRICA,20.0,M,3 lacerations on foot,N,surfing
November,SOUTH AFRICA,16.0,M,Lacerations on lower leg & foot,N,other activity
November,SOUTH AFRICA,77.0,F,FATAL,Y,swimming
November,USA,38.0,,"Lacerations to hand, knee & thigh ",N,surfing
November,VANUATU,,M,Thigh bitten,N,swimming
November,NEW CALEDONIA,,,Forearm bitten,N,swimming
October,CUBA,40.0,M,Left forearm bitten,N,swimming
October,NEW ZEALAND,,,No injury,,other activity
October,SOUTH AFRICA,52.0,M,Right ankle & foot lacerated,N,other activity
October,AUSTRALIA,59.0,M,Right foot lacerated,N,surfing
October,USA,,M,Lower leg bitten,N,surfing
October,USA,34.0,M,Left shoulder bitten,N,fishing
October,SOUTH AFRICA,34.0,M,Puncture wounds on right foot,N,surfing
October,REUNION,15.0,M,"Leg severely bitten, surgically amputated",N,surfing
October,USA,16.0,M,"No injury, knocked off surfboard",N,surfing
October,USA,40.0,M,"No injury, shark struck board & spun it around",N,surfing
September,AUSTRALIA,,,"No injury to occupants, boat damaged",N,fishing
September,USA,26.0,M,Leg bitten,N,surfing
September,USA,,M,Minor scratch on calf,,fishing
September,BRAZIL,,,FATAL,Y,swimming
September,USA,17.0,F,Left knee & leg bitten,N,other activity
August,USA,38.0,F,Heel bitten,N,Close to the water
August,BRAZIL,24.0,M,Calf bitten & both hands injured,N,Close to the water
August,USA,,M,Foot bitten,N,surfing
August,USA,50.0,M,FATAL,Y,swimming
August,USA,47.0,M,"Back, buttocks, left hand & left side of face bitten",N,swimming
August,AUSTRALIA,30.0,M,Minor puncture wounds to leg,N,fishing
August,SOUTH AFRICA,,,No injury to occupants; boat damaged,N,fishing
July,USA,20.0,F,Right foot bitten,N,surfing
July,RUSSIA,,M,Thigh & calf bitten,N,swimming
July,USA,28.0,F,Right calf bitten,N,surfing
July,USA,13.0,F,Right forearm & wrist lacerated,N,swimming
July,USA,19.0,F,Right foot bitten,N,swimming
July,USA,11.0,M,Right forearm nearly severed and bites above & below the right knee,N,fishing
July,AUSTRALIA,,,"No injury to occupants; shark mouthed motor, severed anchor line",N,fishing
July,JAPAN,51.0,M,Suffered broken ribs when the shark's tail fin slammed into his chest,N,fishing
July,AUSTRALIA,30.0,M,"FATAL, abdomen, pelvis & leg bitten      ",Y,surfing
July,EGYPT,,F,Hand severed,N,swimming
July,USA,7.0,M,Right foot lacerated,N,Close to the water
June,USA,45.0,M,"No injury, shark struck his board",N,surfing
June,AUSTRALIA,,M,"No injury, shark made threat displays & diver fended it off with his speargun",,fishing
June,USA,,F,Foot bitten,N,swimming
June,AUSTRALIA,17.0,M,Ankle & foot lacerated,N,surfing
June,USA,8.0,M,Right wrist  & left arm lacerated,N,swimming
June,SOUTH AFRICA,21.0,M,"FATAL, leg severed ",Y,swimming
May,USA,16.0,M,Puncture wounds on shin,N,Close to the water
May,BRAZIL,17.0,M,"Left hand, foot severed &  left calf & arm bitten",N,swimming
May,USA,44.0,M,No injury,N,surfing
May,USA,9.0,M,Calf & foot lacerated,N,swimming
May,USA,9.0,M,Single puncture wound on the foot,,swimming
May,USA,9.0,F,Foot bitten,N,other activity
May,BRAZIL,24.0,F,Hips & thighs bitten,N,Close to the water
May,BAHAMAS,63.0,M,Left forearm bitten PROVOKED INCIDENT,N,swimming
May,USA,28.0,M,"No injury, board bitten",N,surfing
May,BRAZIL,22.0,M,FATAL,Y,swimming
April,AUSTRALIA,,M,Puncture wounds on wrist,N,swimming
April,NEW ZEALAND,,,"No injury to occupants, boat scratched by shark",N,fishing
April, TONGA,,M,"Bitten on feet, legs, back & abdomen but survived.  Survivors rescued after  7.5 hours in the water",Y,fishing
April, TONGA,,M,"He was was bitten on the arm by small sharks & died, but it was not clear if he died as result of the bite or death resulted from drowing",Y,fishing
April,USA,57.0,M,FATAL Severe wound to right thigh & calf,Y,surfing
April,SOUTH AFRICA,16.0,M,"Left leg lacerated, right leg severed above the knee ",N,surfing
April,USA,22.0,F,"Disappeared, surfboard washed ashore, marks on leash suggested shark involvement ",,surfing
March,USA,26.0,M,Right foot bitten,N,other activity
March,USA,20.0,M,15 puncture wounds on foot,N,surfing
March,BRAZIL,22.0,M,"Lower left leg bitten, surgically amputated",N,surfing
March,USA,,M,Heel bitten,N,surfing
